,appid,tags,genre
36,346110,"['Open World Survival Craft', 'Survival', 'Open World', 'Multiplayer', 'Dinosaurs', 'Crafting', 'Building', 'Adventure', 'Base-Building', 'Co-op', 'Action', 'First-Person', 'Sandbox', 'Massively Multiplayer', 'Singleplayer', 'Early Access', 'RPG', 'Dragons', 'Sci-fi', 'Indie']","Action, Adventure, Indie, Massively Multiplayer, RPG"
37,1240440,"['Free to Play', 'FPS', 'Multiplayer', 'Action', 'Shooter', 'Singleplayer', 'First-Person', 'Sci-fi', 'Open World', 'Competitive', 'PvP', 'Co-op', 'Story Rich', 'Space', 'Adventure', 'Aliens', 'Lore-Rich', 'Atmospheric', 'Cinematic', 'Soundtrack']","Action, Free to Play"
38,381210,"['Horror', 'Survival Horror', 'Multiplayer', 'Online Co-Op', 'Co-op', 'Survival', 'Gore', 'Team-Based', 'Blood', 'Stealth', 'Third Person', 'Violent', 'First-Person', 'Psychological Horror', 'Action', 'Atmospheric', 'Strategy', 'Comedy', 'Mature', 'Difficult']",Action
39,227940,"['Free to Play', 'World War II', 'FPS', 'Multiplayer', 'War', 'Shooter', 'Action', 'First-Person', 'Massively Multiplayer', 'Strategy', 'Tactical', 'Co-op', 'Historical', 'Open World', 'Simulation', 'Atmospheric', 'Adventure', 'Indie', 'Early Access', 'RTS']","Action, Free to Play, Indie, Massively Multiplayer, Strategy"
40,252950,"['Football (Soccer)', 'Multiplayer', 'Competitive', 'Sports', 'Racing', 'Football (American)', 'Team-Based', 'Online Co-Op', 'Fast-Paced', 'Co-op', 'Action', 'Funny', 'Great Soundtrack', 'Local Multiplayer', 'Split Screen', 'Local Co-Op', 'Singleplayer', '4 Player Local', 'Casual', 'Indie']","Action, Indie, Racing, Sports"
41,227300,"['Driving', 'Transportation', 'Simulation', 'Open World', 'Automobile Sim', 'Realistic', 'Moddable', 'Relaxing', 'Immersive Sim', 'Exploration', 'Economy', 'Management', 'Atmospheric', 'Multiplayer', 'Controller', 'Third Person', 'Family Friendly', 'Casual', 'Adventure', 'Indie']","Indie, Simulation"
42,620,"['Platformer', 'Puzzle', 'Dark Humor', 'First-Person', 'Story Rich', 'Puzzle-Platformer', 'Funny', 'Female Protagonist', '3D Platformer', 'Action-Adventure', 'Action', 'FPS', 'Co-op', 'Physics', 'Level Editor', 'Sci-fi', 'Science', 'Atmospheric', 'Comedy', 'Adventure']","Action, Adventure"
43,552990,"['Naval Combat', 'Free to Play', 'Naval', 'World War II', 'Massively Multiplayer', 'Action', 'Multiplayer', 'Tactical', 'PvP', 'Historical', 'Military', 'Online Co-Op', 'Team-Based', 'Realistic', 'Simulation', 'Shooter', 'PvE', 'Third-Person Shooter', 'War', 'Co-op']","Action, Free to Play, Massively Multiplayer, Simulation"
44,386360,"['Free to Play', 'MOBA', 'Multiplayer', 'Action', 'Third Person', 'MMORPG', 'Mythology', 'Nostalgia', 'Team-Based', 'Competitive', 'PvP', 'Co-op', 'Strategy', 'Massively Multiplayer', 'e-sports', 'Open World', 'RPG', 'Adventure', 'Survival', 'Funny']","Action, Free to Play"
45,739630,"['Horror', 'Online Co-Op', 'Multiplayer', 'Psychological Horror', 'Co-op', 'VR', 'Supernatural', 'First-Person', 'Investigation', 'Dark', 'Mystery', 'Demons', 'Detective', 'Early Access', '3D', 'Thriller', 'Indie', 'Action', 'Tactical', 'Lovecraftian']","Action, Indie, Early Access"
46,322330,"['Exploration', 'Open World Survival Craft', 'Survival', 'Sandbox', 'Crafting', 'Rogue-lite', 'Multiplayer', 'Difficult', 'Open World', '2D', 'Horror', 'Adventure', 'Strategy', 'Atmospheric', 'Survival Horror', 'Funny', 'Action', 'Simulation', 'Online Co-Op', 'PvP']","Adventure, Indie, Simulation"
47,755790,"['Free to Play', 'Battle Royale', 'Shooter', 'Multiplayer', 'Survival', 'FPS', 'Action', 'Massively Multiplayer', 'Third-Person Shooter', 'Early Access', 'Singleplayer', 'PvP', 'Open World', 'Co-op', '3D', 'Tactical', 'Violent', 'Gore', 'MOBA', 'First-Person']","Action, Free to Play, Massively Multiplayer"
48,550650,"['Free to Play', 'FPS', 'Shooter', 'Multiplayer', 'Action', 'Early Access', 'First-Person', 'Military', 'PvP', 'Singleplayer', 'Co-op', 'War', 'Massively Multiplayer', 'Tactical', 'Team-Based', 'Violent', 'Open World', 'Strategy', 'Gore', 'Adventure']","Action, Free to Play"
